2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 961 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 961 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 962 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 963 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 963 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 964 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 965 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 966 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 967 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 968 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 969 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 969 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 970 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 971 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 971 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 972 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 972 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 973 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 973 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 974 flow
2024-05-25 09:47:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 974 flow
2024-05-25 09:47:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 975 flow
